                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.63175,                0.67876,                0.49408,                0.89759,                0.94601,                0.80263,                0.89995,                0.77292,                0.93581,                0.76738,                0.87397,                 0.4581,                0.54049,                0.37287,                0.43482,                0.87109,             0.00096804,             0.00096804,             0.00096804
                     25,                0.60251,                 0.6254,                 0.4606,                0.88328,                0.92342,                0.79329,                0.90204,                0.76111,                0.87761,                0.75485,                0.85711,                0.44682,                0.52528,                0.36658,                0.46732,                0.87196,             0.00096524,             0.00096524,             0.00096524
                     26,                0.61554,                0.65007,                0.46241,                0.88608,                0.96763,                0.78657,                0.90635,                0.78909,                0.91918,                0.74823,                0.85275,                0.43786,                0.51025,                0.36808,                0.42303,                 0.8442,             0.00096232,             0.00096232,             0.00096232
                     27,                0.58893,                0.59619,                0.45568,                0.87242,                0.90011,                0.85526,                0.91965,                0.79162,                0.87182,                0.82895,                0.86799,                0.43967,                0.50086,                0.38775,                0.38807,                0.83096,             0.00095929,             0.00095929,             0.00095929
                     28,                0.60518,                0.62959,                0.46273,                0.87869,                0.94202,                0.85512,                0.91259,                0.78872,                0.90948,                0.82895,                0.87805,                 0.4631,                0.52341,                0.36337,                0.39911,                0.84646,             0.00095614,             0.00095614,             0.00095614
                     29,                0.59998,                0.58115,                0.47099,                0.88682,                0.88342,                0.82895,                0.87675,                0.76567,                0.85421,                0.80263,                0.83547,                0.44437,                0.50982,                0.37179,                0.46277,                0.85679,             0.00095289,             0.00095289,             0.00095289
                     30,                0.60945,                0.64003,                0.45447,                0.88583,                 0.9469,                0.78947,                0.90356,                0.78563,                 0.8439,                0.81579,                0.85219,                0.45809,                0.51435,                0.36723,                0.41582,                0.83981,             0.00094952,             0.00094952,             0.00094952
                     31,                0.59875,                0.64369,                0.43975,                0.87891,                0.92156,                0.80263,                0.87656,                0.76729,                0.87528,                0.78947,                0.85233,                0.45326,                0.56601,                0.36455,                0.42894,                0.85423,             0.00094605,             0.00094605,             0.00094605
                     32,                0.58856,                 0.6393,                0.44591,                 0.8773,                0.98072,                0.81579,                0.90248,                0.78448,                 0.9485,                0.78947,                0.86883,                0.44492,                0.56255,                0.38669,                0.39625,                0.87318,             0.00094246,             0.00094246,             0.00094246
                     33,                 0.5591,                0.59715,                0.40174,                0.87039,                0.98029,                0.78947,                0.91698,                0.77683,                0.96607,                0.74938,                0.84741,                0.44607,                0.58171,                0.37623,                0.42734,                0.88094,             0.00093877,             0.00093877,             0.00093877
                     34,                0.57502,                 0.5818,                0.41862,                 0.8758,                0.96927,                0.82994,                0.91068,                0.77072,                0.90093,                0.83764,                0.86348,                0.43623,                  0.572,                0.37918,                0.41631,                0.86678,             0.00093497,             0.00093497,             0.00093497
                     35,                0.57647,                0.57557,                0.41098,                0.87167,                0.94554,                0.81579,                0.90504,                0.78604,                0.89979,                0.77632,                0.86216,                0.44934,                0.54684,                0.36094,                0.42981,                0.87577,             0.00093107,             0.00093107,             0.00093107
                     36,                0.56327,                0.55074,                0.41321,                0.85804,                0.90999,                0.88158,                0.90838,                0.78659,                0.87666,                0.85526,                0.85525,                0.45008,                0.53435,                0.36168,                0.40567,                0.86613,             0.00092706,             0.00092706,             0.00092706
                     37,                0.57466,                0.59443,                0.42459,                0.86509,                0.91455,                0.85526,                0.90639,                0.79647,                0.88597,                0.82895,                0.86646,                0.46591,                 0.4867,                0.37448,                0.38251,                0.86124,             0.00092294,             0.00092294,             0.00092294
                     38,                 0.5579,                0.56736,                0.40547,                0.86324,                0.93124,                0.89109,                0.92295,                0.80043,                0.90374,                0.86477,                0.87846,                0.47362,                0.47348,                  0.362,                0.37707,                0.85111,             0.00091872,             0.00091872,             0.00091872
                     39,                0.55197,                0.57613,                0.39953,                0.86246,                  0.984,                0.85526,                  0.911,                 0.7996,                0.95517,                0.84211,                0.89741,                0.47727,                0.50183,                0.37014,                0.38079,                0.87224,              0.0009144,              0.0009144,              0.0009144
                     40,                0.56029,                0.58837,                0.39651,                0.85875,                0.95602,                0.85802,                0.92658,                0.81122,                0.94136,                0.84486,                0.89731,                0.47357,                0.50152,                0.36511,                0.39314,                0.90207,             0.00090998,             0.00090998,             0.00090998
                     41,                0.54268,                0.58312,                0.41296,                0.86165,                0.93784,                0.84211,                0.89793,                0.78354,                 0.8984,                0.81444,                0.82435,                0.43528,                0.52623,                0.38767,                 0.4582,                0.89992,             0.00090546,             0.00090546,             0.00090546
                     42,                0.52684,                0.54465,                0.38027,                0.86277,                0.92004,                0.84211,                0.88429,                0.78724,                0.88571,                0.80263,                0.82789,                0.44556,                0.49939,                0.35364,                0.45467,                0.88928,             0.00090084,             0.00090084,             0.00090084
                     43,                0.52734,                0.50901,                0.39512,                0.86453,                0.92752,                0.84186,                0.91258,                0.79325,                0.91302,                0.82871,                0.88135,                0.47128,                0.51072,                0.35824,                 0.4412,                0.91116,             0.00089613,             0.00089613,             0.00089613
                     44,                0.53011,                0.54468,                0.37619,                0.85893,                0.95212,                0.86842,                0.92223,                0.80676,                0.91646,                0.86615,                 0.8871,                0.47148,                0.49342,                0.35585,                0.37113,                0.90064,             0.00089131,             0.00089131,             0.00089131
                     45,                0.51805,                 0.5289,                0.36595,                 0.8463,                0.92626,                0.82645,                0.90763,                0.77655,                0.88209,                0.78748,                0.83826,                 0.4607,                0.52087,                0.35736,                0.45832,                0.87521,              0.0008864,              0.0008864,              0.0008864
                     46,                0.52085,                0.53728,                0.37095,                 0.8508,                0.89886,                0.84211,                0.89794,                0.79342,                0.88473,                0.82895,                0.87407,                0.46879,                0.48921,                0.34765,                0.41513,                0.86007,              0.0008814,              0.0008814,              0.0008814
                     47,                0.51913,                 0.5451,                0.37911,                0.85572,                0.95176,                0.80263,                0.88922,                0.78457,                0.91917,                0.77632,                0.84392,                0.44973,                0.50715,                 0.3756,                0.40966,                0.86112,              0.0008763,              0.0008763,              0.0008763
                     48,                0.50564,                0.49862,                 0.3614,                0.85407,                0.94273,                0.84211,                0.92371,                0.78858,                0.88623,                0.80263,                0.85242,                0.46761,                0.51501,                0.35334,                0.39949,                0.85222,             0.00087112,             0.00087112,             0.00087112
                     49,                0.51055,                0.54843,                0.37155,                 0.8408,                0.96538,                0.82895,                0.92934,                0.80249,                0.90648,                0.77632,                0.83255,                0.45807,                0.49418,                0.37089,                0.37624,                0.85158,             0.00086584,             0.00086584,             0.00086584
                     50,                0.51526,                0.53265,                0.36719,                0.85756,                0.95085,                0.82895,                0.90453,                0.79351,                0.91548,                   0.75,                0.82525,                0.44081,                0.49639,                0.36676,                0.38746,                0.87758,             0.00086047,             0.00086047,             0.00086047
                     51,                0.50642,                0.50517,                0.35418,                0.84888,                0.98424,                0.82193,                0.90674,                0.80014,                0.93698,                0.78261,                0.85292,                 0.4498,                0.46042,                0.37046,                  0.397,                0.88135,             0.00085502,             0.00085502,             0.00085502
                     52,                0.49318,                0.50931,                 0.3518,                0.84064,                0.89089,                0.85953,                0.89972,                0.79782,                0.88725,                0.82838,                0.85997,                0.46526,                0.44783,                0.36314,                 0.4235,                0.86833,             0.00084948,             0.00084948,             0.00084948
                     53,                0.46927,                0.49742,                0.33886,                0.84131,                0.96964,                 0.8405,                0.90716,                0.79914,                0.90894,                0.78803,                0.83479,                0.44939,                0.47506,                0.36553,                 0.4124,                0.85993,             0.00084385,             0.00084385,             0.00084385
                     54,                0.50656,                0.54553,                0.35531,                0.84705,                0.95479,                0.85526,                0.91799,                0.81137,                0.89563,                0.80263,                 0.8463,                0.46888,                0.47423,                0.38161,                 0.3806,                0.84679,             0.00083814,             0.00083814,             0.00083814
                     55,                0.50211,                0.52211,                0.34456,                0.84035,                0.95837,                0.85526,                0.91633,                0.81295,                0.91334,                0.81579,                0.85937,                0.47142,                0.49384,                0.38283,                0.37998,                0.83952,             0.00083235,             0.00083235,             0.00083235
                     56,                0.48295,                 0.5043,                0.33719,                0.85222,                0.95503,                0.84211,                0.91426,                0.80978,                0.95497,                0.80263,                0.87411,                0.48842,                0.50208,                0.35962,                0.39552,                0.84994,             0.00082648,             0.00082648,             0.00082648
                     57,                0.50688,                0.55683,                0.35476,                0.84905,                0.92937,                0.86569,                 0.9168,                0.79953,                0.91525,                0.85261,                0.90505,                0.47937,                0.50457,                0.35507,                0.41132,                0.84846,             0.00082052,             0.00082052,             0.00082052
                     58,                0.49349,                0.54012,                0.33641,                0.84372,                0.93382,                0.85526,                0.91661,                0.80079,                 0.8899,                0.81579,                 0.8636,                0.48026,                 0.4985,                0.36291,                 0.3913,                 0.8501,              0.0008145,              0.0008145,              0.0008145
                     59,                 0.4865,                0.55589,                0.34881,                0.84472,                0.98448,                0.83454,                0.91738,                0.80679,                0.95343,                0.80823,                0.88896,                0.51712,                0.47866,                0.33139,                0.36731,                0.85743,             0.00080839,             0.00080839,             0.00080839
                     60,                0.48175,                0.52726,                0.34942,                 0.8425,                0.95624,                0.86269,                0.90536,                0.80965,                0.91251,                0.82343,                0.85628,                0.48095,                0.47599,                0.37066,                0.39651,                0.87145,             0.00080221,             0.00080221,             0.00080221
                     61,                0.48542,                0.51141,                0.33839,                0.84299,                0.96873,                0.85526,                0.89406,                0.78855,                0.92372,                0.81579,                  0.851,                0.50013,                0.47716,                0.34328,                0.41183,                0.90493,             0.00079595,             0.00079595,             0.00079595
                     62,                0.51974,                0.53123,                0.41803,                 0.8707,                0.96461,                0.82895,                0.89618,                0.79014,                0.91858,                0.78947,                0.84302,                0.48942,                0.48993,                0.34227,                0.40011,                0.91124,             0.00078963,             0.00078963,             0.00078963
                     63,                0.47729,                0.51242,                0.33681,                0.83941,                0.96833,                0.84211,                0.90031,                0.79393,                 0.9379,                0.81579,                0.85551,                0.48405,                0.48163,                0.33562,                0.38131,                0.88807,             0.00078323,             0.00078323,             0.00078323
                     64,                 0.4743,                0.50126,                 0.3302,                0.84372,                0.92895,                0.86842,                0.89739,                0.79149,                0.88656,                0.82895,                  0.842,                0.47039,                0.47575,                0.34953,                0.40072,                0.84546,             0.00077677,             0.00077677,             0.00077677
                     65,                0.49065,                0.53169,                0.33919,                0.83718,                      1,                0.82831,                0.90253,                0.80126,                0.95215,                0.78553,                0.85972,                0.47707,                 0.4517,                0.35589,                0.38196,                0.82612,             0.00077023,             0.00077023,             0.00077023
